URN,Local Authority name,Establisment name,Easting,Northing,Type of Establishment,Phase of education,NO2 g/m3 mean,Above limit,Parliamentary Constituences,Establishment Status,Close Date
134154,Tower Hamlets,Courtauld Institute of Art,530773,180770,Higher Education Institutions,Not applicable,73.1,Yes,Cities of London and Westminster,Open,
133910,Westminster,London School of Economics and Political Science,530778,181130,Higher Education Institutions,Not applicable,68.2,Yes,Cities of London and Westminster,Open,
100529,Lambeth,DLD College London,530860,179614,Other Independent School,Not applicable,67.8,Yes,Vauxhall,Open,
133167,Southwark,London College of Printing & Distributive Trades,531909,178989,Miscellaneous,Not applicable,67.3,Yes,Bermondsey and Old Southwark,Open,
101136,Westminster,St Mary's Bryanston Square CofE School,527546,181766,Voluntary Aided School,Primary,67,Yes,Cities of London and Westminster,Open,
137333,Camden,CATS College London,530364,181581,Other Independent School,Not applicable,66.9,Yes,Holborn and St Pancras,Open,
100351,Hammersmith and Fulham,St Paul's CofE Primary School,523176,178344,Voluntary Aided School,Primary,65.2,Yes,Hammersmith,Open,
101127,Westminster,St Clement Danes CofE Primary School,530611,181081,Voluntary Aided School,Primary,65,Yes,Cities of London and Westminster,Open,
137353,Westminster,The St Marylebone CofE School,528296,181984,Academy Converter,Secondary,64.8,Yes,Cities of London and Westminster,Open,
133861,Westminster,Royal Academy of Music,528321,182141,Higher Education Institutions,Not applicable,64.8,Yes,Cities of London and Westminster,Open,
101140,Westminster,St Peter's Eaton Square CofE Primary School,528736,179092,Voluntary Aided School,Primary,64.3,Yes,Cities of London and Westminster,Open,
100828,Southwark,St George's Cathedral Catholic Primary School,531508,179409,Voluntary Aided School,Primary,64.3,Yes,Bermondsey and Old Southwark,Open,
101147,Westminster,Christ Church Bentinck CofE Primary School,527312,181875,Voluntary Aided School,Primary,64.1,Yes,Westminster North,Open,
101164,Westminster,Connaught House School,527570,181036,Other Independent School,Not applicable,63.8,Yes,Cities of London and Westminster,Open,
138275,Westminster,The Minerva Academy,527282,181421,Free Schools,Primary,63.7,Yes,Cities of London and Westminster,Open,
133874,Lambeth,King's College London,531077,180142,Higher Education Institutions,Not applicable,62.7,Yes,Vauxhall,Open,
133898,Westminster,University of Westminster,528922,181397,Higher Education Institutions,Not applicable,62.6,Yes,Cities of London and Westminster,Open,
100000,City of London,Sir John Cass's Foundation Primary School,533498,181201,Voluntary Aided School,Primary,62.6,Yes,Cities of London and Westminster,Open,
100003,City of London,City of London School,531981,180844,Other Independent School,Not applicable,62.6,Yes,Cities of London and Westminster,Open,
139415,Westminster,Halcyon London International School,527649,181229,Other Independent School,Not applicable,62.4,Yes,Cities of London and Westminster,Open,
100511,Kensington and Chelsea,Queen's Gate School,526555,178883,Other Independent School,Not applicable,61.8,Yes,Kensington,Open,
100928,Tower Hamlets,Woolmore Primary School,538273,180944,Community School,Primary,61.8,Yes,Poplar and Limehouse,Open,
138980,Tower Hamlets,Al Ashraaf Secondary School,533883,181402,Other Independent School,Not applicable,61.3,Yes,Bethnal Green and Bow,Open,
133908,Camden,Conservatoire for Dance and Drama,529865,182529,Higher Education Institutions,Not applicable,61,Yes,Holborn and St Pancras,Open,
100458,Islington,Central Foundation Boys' School,532888,182441,Voluntary Aided School,Secondary,60.6,Yes,Islington South and Finsbury,Open,
101171,Westminster,International Community School,528286,182168,Other Independent School,Not applicable,60.4,Yes,Cities of London and Westminster,Open,
100002,City of London,St Paul's Cathedral School,532160,181151,Other Independent School,Not applicable,60.3,Yes,Cities of London and Westminster,Open,
100537,Kensington and Chelsea,Ashbourne Independent School,525763,179751,Other Independent School,Not applicable,60.3,Yes,Kensington,Open,
130412,Lambeth,Morley College,531293,179353,Further Education,16 Plus,60.2,Yes,Vauxhall,Open,
100547,Kensington and Chelsea,Lycee Francais Charles de Gaulle,526663,178950,Other Independent School,Not applicable,60.1,Yes,Kensington,Open,
130401,Camden,City Lit,530540,181228,Further Education,16 Plus,59.9,Yes,Holborn and St Pancras,Open,
137935,Hammersmith and Fulham,Sacred Heart High School,523435,178678,Academy Converter,Secondary,59.8,Yes,Hammersmith,Open,
139659,Lambeth,Oasis Academy South Bank,531176,179406,Free Schools,Secondary,59.4,Yes,Vauxhall,Open,
